keys,en,ja,fr,de,es,it,ko,zh_HK,zh
1,Bulbasaur,フシギダネ,Bulbizarre,Bisasam,Bulbasaur,Bulbasaur,이상해씨,妙蛙種子,妙蛙种子
2,Ivysaur,フシギソウ,Herbizarre,Bisaknosp,Ivysaur,Ivysaur,이상해풀,妙蛙草,妙蛙草
3,Venusaur,フシギバナ,Florizarre,Bisaflor,Venusaur,Venusaur,이상해꽃,妙蛙花,妙蛙花
4,Charmander,ヒトカゲ,Salamèche,Glumanda,Charmander,Charmander,파이리,小火龍,小火龙
5,Charmeleon,リザード,Reptincel,Glutexo,Charmeleon,Charmeleon,리자드,火恐龍,火恐龙
6,Charizard,リザードン,Dracaufeu,Glurak,Charizard,Charizard,리자몽,噴火龍,喷火龙
7,Squirtle,ゼニガメ,Carapuce,Schiggy,Squirtle,Squirtle,꼬부기,傑尼龜,杰尼龟
8,Wartortle,カメール,Carabaffe,Schillok,Wartortle,Wartortle,어니부기,卡咪龜,卡咪龟
9,Blastoise,カメックス,Tortank,Turtok,Blastoise,Blastoise,거북왕,水箭龜,水箭龟
10,Caterpie,キャタピー,Chenipan,Raupy,Caterpie,Caterpie,캐터피,綠毛蟲,绿毛虫
11,Metapod,トランセル,Chrysacier,Safcon,Metapod,Metapod,단데기,鐵甲蛹,铁甲蛹
12,Butterfree,バタフリー,Papilusion,Smettbo,Butterfree,Butterfree,버터플,巴大蝶,巴大蝶
13,Weedle,ビードル,Aspicot,Hornliu,Weedle,Weedle,뿔충이,獨角蟲,独角虫
14,Kakuna,コクーン,Coconfort,Kokuna,Kakuna,Kakuna,딱충이,獨角蟲,独角虫
15,Beedrill,スピアー,Dardargnan,Bibor,Beedrill,Beedrill,독침붕,大针蜂,大针蜂
16,Pidgey,ポッポ,Roucool,Taubsi,Pidgey,Pidgey,구구,波波,波波
17,Pidgeotto,ピジョン,Roucoups,Tauboga,Pidgeotto,Pidgeotto,피죤,比比鳥,比比鸟
18,Pidgeot,ピジョット,Roucarnage,Tauboss,Pidgeot,Pidgeot,피죤투,大比鳥,大比鸟
19,Ratatta,コラッタ,Ratatta,Rattfratz,Ratatta,Ratatta,꼬렛,小拉達,小拉达
20,Raticate,ラッタ,Rattatac,Rattikarl,Raticate,Raticate,레트라,拉達,拉达
21,Spearow,オニスズメ,Piafabec,Habitak,Spearow,Spearow,깨비참,烈雀,烈雀
22,Fearow,オニドリル,Rapasdepic,Ibitak,Fearow,Fearow,깨비드릴조,大嘴雀,大嘴雀
23,Ekans,アーボ,Abo,Rettan,Ekans,Ekans,아보,阿柏蛇,阿柏蛇
24,Arbok,アーボック,Arbok,Arbok,Arbok,Arbok,아보크,阿柏怪,阿柏怪
25,Pikachu,ピカチュウ,Pikachu,Pikachu,Pikachu,Pikachu,피카츄,皮卡丘,皮卡丘
26,Raichu,ライチュウ,Raichu,Raichu,Raichu,Raichu,라이츄,雷丘,雷丘
27,Sandshrew,サンド,Sabelette,Sandan,Sandshrew,Sandshrew,모래두지,穿山鼠,穿山鼠
28,Sandslash,サンドパン,Sablaireau,Sandamer,Sandslash,Sandslash,고지,穿山王,穿山王
29,Nidoran♀,ニドラン♀,Nidoran♀,Nidoran♀,Nidoran♀,Nidoran♀,니드런♀,尼多蘭,尼多兰
30,Nidorina,ニドリーナ,Nidorina,Nidorina,Nidorina,Nidorina,니드리나,尼多娜,尼多娜
31,Nidoqueen,ニドクイン,Nidoqueen,Nidoqueen,Nidoqueen,Nidoqueen,니드퀸,尼多后,尼多后
32,Nidoran♂,ニドラン♂,Nidoran♂,Nidoran♂,Nidoran♂,Nidoran♂,니드런♂,尼多朗,尼多朗
33,Nidorino,ニドリーノ,Nidorino,Nidorino,Nidorino,Nidorino,니드리노,尼多力諾,尼多力诺
34,Nidoking,ニドキング,Nidoking,Nidoking,Nidoking,Nidoking,니드킹,尼多王,尼多王
35,Clefairy,ピッピ,Mélofée,Piepi,Clefairy,Clefairy,삐삐,皮皮,皮皮
36,Clefable,ピクシー,Mélodelfe,Pixi,Clefable,Clefable,픽시,皮可西,皮可西
37,Vulpix,ロコン,Goupix,Vulpix,Vulpix,Vulpix,식스테일,六尾,六尾
38,Ninetales,キュウコン,Feunard,Vulnona,Ninetales,Ninetales,나인테일,九尾,九尾
39,Jigglypuff,プリン,Rondoudou,Pummeluff,Jigglypuff,Jigglypuff,푸린,胖丁,胖丁
